intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,Policy_Status,Policy_Blockers
intake-068,Intel Arc Pro B70,ACTIVE,Component,component,Workstation_GPU,UNKNOWN,UNKNOWN,Arc Pro B70,32.0,UNKNOWN,UNKNOWN,UNKNOWN,1423.0,No,,New,UNKNOWN,Needs Verification,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-068_intel-arc-pro-b70.md,,Passed gates,AU stock: UNKNOWN,intake-068,Candidate,9,10,9,1,9,7.600,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-005,Dell Precision T7910 (Refurbished Base),ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,1875.0,No,,Refurbished,UNKNOWN,Unverified,Yes,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-005_dell-precision-t7910-refurbished-base.md,,Passed gates,Unverified — confirm specs before scoring,intake-005,Candidate,7,10,9,2,9,7.300,,,,,,,,,,,,,,GOOD_ENOUGH,
intake-066,Dell Precision 5820 Tower Workstation (32GB RAM),ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2399.0,No,,Refurbished,UNKNOWN,Verified,Yes,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-066_dell-precision-5820-tower-workstation-32gb-ram.md,,Passed gates,,intake-066,Candidate,7,10,9,2,9,7.300,,,,,,,,,,,,,,GOOD_ENOUGH,
intake-020,ASUS ROG Strix GeForce RTX 3090 OC 24GB GDDR6X,ACTIVE,Component,component,Standalone_GPU,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,1591.98,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-020_asus-rog-strix-geforce-rtx-3090-oc-24gb-gddr6x.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-020,Candidate,7,10,9,1,9,7.100,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-021,NVIDIA GeForce RTX 3090 24GB 2SLOT Turbo Blower,ACTIVE,Component,component,Standalone_GPU,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,1739.49,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-021_nvidia-geforce-rtx-3090-24gb-2slot-turbo-blower.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-021,Candidate,7,10,9,1,9,7.100,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-057,ASRock Radeon RX 7900 XTX Phantom Gaming 24GB OC,ACTIVE,Component,component,Standalone_GPU,UNKNOWN,UNKNOWN,RX 7900 XTX,24.0,UNKNOWN,UNKNOWN,UNKNOWN,1229.0,No,,New,UNKNOWN,Verified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-057_asrock-radeon-rx-7900-xtx-phantom-gaming-24gb-oc.md,,Passed gates,AU stock: UNKNOWN,intake-057,Candidate,7,10,9,1,9,7.100,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-067,EVGA FTW3 Ultra RTX 3090,ACTIVE,Component,component,Standalone_GPU,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,1318.0,No,,Refurbished,UNKNOWN,Needs Verification,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-067_evga-ftw3-ultra-rtx-3090.md,,Passed gates,AU stock: UNKNOWN,intake-067,Candidate,7,10,9,1,9,7.100,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-010,MSI Raider 18 HX AI A2XWJG,ACTIVE,Laptop,laptop,Complete_System,UNKNOWN,UNKNOWN,RTX 5090 Mobile,24.0,UNKNOWN,UNKNOWN,UNKNOWN,8488.0,Yes,,New,UNKNOWN,Verified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/04_Laptops_Mainline/intake-010_msi-raider-18-hx-ai-a2xwjg.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $8,488.00); AU stock: UNKNOWN",intake-010,Candidate,9,1,9,7,9,7.000,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-012,Razer Blade 18,ACTIVE,Laptop,laptop,Complete_System,UNKNOWN,UNKNOWN,RTX 5090 Mobile,24.0,UNKNOWN,UNKNOWN,UNKNOWN,7400.0,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/04_Laptops_Mainline/intake-012_razer-blade-18.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $7,400.00); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-012,Candidate,9,1,9,7,9,7.000,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-035,Specialized EVGA 3090 Custom Build,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2953.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-035_specialized-evga-3090-custom-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-035,Candidate,7,8,9,2,9,6.900,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
