listing_id,title,url,price_raw,price_aud,retailer,condition,cpu_model,gpu_model,ram_gb,vram_gb,screen_size_in,storage
198143249185,Dell Precision 7550 Laptop | Intel Xeon W10855M CPU| 64GB| 1.5TB |16 GB RTX 5000,https://www.ebay.com.au/itm/198143249185,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,Xeon W10855M,RTX 5000,UNKNOWN,16,UNKNOWN,UNKNOWN
278016591260,Metabox Alpha-S NP70HP Gaming Laptop 17.3” i7-11800H 32GB RAM 2TB SSD Win11,https://www.ebay.com.au/itm/278016591260,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i7-11800H,UNKNOWN,32,UNKNOWN,UNKNOWN,2TB SSD
188326386035,"Alienware Area-51m Gaming Laptop, i9-9900K, 3.60GHz, 64GB, 2TB Storage-No OS/AC",https://www.ebay.com.au/itm/188326386035,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i9-9900K,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
336612833266,Alienware M18 R1 (2023)/RTX 4090/64gb DDR5 RAM/6TB SSD (2 + 4) / i9 13980HX,https://www.ebay.com.au/itm/336612833266,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i9 13980HX,RTX 4090,64,16,UNKNOWN,6TB SSD
326934433673,ASUS Vivobook 18' AMD Ryzen7 260 18.4 WUXGA (1920 x 1200) 16:10 16GB DDR5 1TB,https://www.ebay.com.au/itm/326934433673,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,Ryzen7,UNKNOWN,16,UNKNOWN,UNKNOWN,UNKNOWN
327179452405,"Dell Alienware M18 R2 18"" Intel i9-14900@2.2GHz 32GB RAM 1TB SSD RTX 4090 *READ*",https://www.ebay.com.au/itm/327179452405,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i9-14900,RTX 4090,32,16,UNKNOWN,1TB SSD
267631290423,"HP ZBook Power 16 G11 Workstation 16"" WUXGA Touch Ultra 9 185H 64GB RAM 2TB SSD",https://www.ebay.com.au/itm/267631290423,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,Ultra 9 185H,UNKNOWN,64,UNKNOWN,UNKNOWN,2TB SSD
236740339258,"ASUS ROG ZEPHYRUS DUO 16.0"" LAPTOP RYZEN 7 6800H 3.20GHz RTX-3070Ti 32GB 512GB",https://www.ebay.com.au/itm/236740339258,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,RYZEN 7 6800H,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
178112406514,Dell Precision 7920 2x Gold 6226R 16C 128GB Ram 256GB NVMe RTX5000 W11P * Read D,https://www.ebay.com.au/itm/178112406514,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,UNKNOWN,RTX5000 ,128,16,UNKNOWN,256GB NVMe
198170918806,Dell Precision 7750 Laptop 17.3” 32GB RAM | 1 TB SSD | 16GB GPU,https://www.ebay.com.au/itm/198170918806,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,UNKNOWN,UNKNOWN,32,16,UNKNOWN,1 TB SSD
