Machine,Type,track,pathway,vram_gb,unified_memory_gb,screen_size_in,price_aud,au_stock,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total
Custom_RTX3090_24GB_Tower,Reference,2,A,24,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
Dell_Precision_T7920_Dual_A5000,Reference,2,B,48,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
HP_Z8_G4_Workstation_RTX3090,Reference,2,B,24,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
Used_EVGA_3090_Boutique_Tower,Reference,1.5,UNKNOWN,24,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
Mac_Studio_M4_Max_64GB,Deferred,2,C,UNKNOWN,64,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
PLE_RTX5070Ti_16GB_Desktop,Reference,1.5,UNKNOWN,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
MSI_RTX4080S_16GB_Prebuilt,Reference,1.5,UNKNOWN,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
Lenovo_Legion_RTX4090_16GB_Laptop,Reference,1,1A,16,UNKNOWN,16,UNKNOWN,UNKNOWN,,,,,,
Dell_Alienware_m18_RTX4090_Laptop,Reference,1,1A,16,UNKNOWN,18,UNKNOWN,UNKNOWN,,,,,,
MSI_Vector_A18_RTX5070Ti_12GB,Rejected,1,1A,12,UNKNOWN,18,UNKNOWN,UNKNOWN,,,,,,
RTX4080S_Refurb_MidTower_Generic,Reference,1.5,UNKNOWN,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
Threadripper_Boutique_No_GPU,Deferred,2,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
Mac_Mini_M4_Pro_24GB_Unified,Deferred,2,C,UNKNOWN,24,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,
