candidate,classification,track_pathway,model_signature,listing_signature,observed_price_aud,observed_url,conversation_id,conversation_title,recommended_action
touchscreen + 32 GB + premium feel,Missing,UNKNOWN/UNKNOWN,touchscreen 32 gb premium feel rtx 4050,touchscreen 32 gb premium feel rtx 4050 refurbished,UNKNOWN,UNKNOWN,69d48ad0-58e0-839f-9899-309d74727abc,Laptop for iMac Replacement,Review against existing cards and verify live facts before intake.
Precision,Missing,1.5/UNKNOWN,precision rtx 2060 desktop,precision rtx 2060 desktop refurbished,UNKNOWN,UNKNOWN,69d48ad0-58e0-839f-9899-309d74727abc,Laptop for iMac Replacement,Review against existing cards and verify live facts before intake.
HP Spectre x360 16,Missing,UNKNOWN/UNKNOWN,hp spectre x360 16 rtx 4050,hp spectre x360 16 rtx 4050 refurbished,UNKNOWN,UNKNOWN,69d48ad0-58e0-839f-9899-309d74727abc,Laptop for iMac Replacement,Review against existing cards and verify live facts before intake.
Yoga AIO 27 Gen 10,Missing,1/1A,yoga aio 27 gen 10 laptop,yoga aio 27 gen 10 laptop the time of its 2025 comparison 1899,1899,UNKNOWN,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,Review against existing cards and verify live facts before intake.
HP Spectre x360 16-aa0012TX,Missing,UNKNOWN/UNKNOWN,hp spectre x360 16 aa0012tx rtx 4050,hp spectre x360 16 aa0012tx rtx 4050 3499,3499,UNKNOWN,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,Review against existing cards and verify live facts before intake.
HP ZBook Firefly 16 G11 (A1PH5PT),Missing,1/1A,hp zbook firefly 16 g11 laptop,hp zbook firefly 16 g11 laptop staticice indexed scorptec pricing 3199,3199,UNKNOWN,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,Review against existing cards and verify live facts before intake.
HP Victus 16.1,Missing,UNKNOWN/UNKNOWN,hp victus 16 1 rtx 4060,hp victus 16 1 rtx 4060 harvey norman 1888,1888,UNKNOWN,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,Review against existing cards and verify live facts before intake.
Predator Helios Neo 16,Missing,UNKNOWN/UNKNOWN,predator helios neo 16 rtx 4060,predator helios neo 16 rtx 4060 harvey norman 2999,2999,UNKNOWN,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,Review against existing cards and verify live facts before intake.
Predator Triton 14 AI,Missing,UNKNOWN/UNKNOWN,predator triton 14 ai rtx 5070,predator triton 14 ai rtx 5070 harvey norman well over ceiling 5298,5298,UNKNOWN,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,Review against existing cards and verify live facts before intake.
ASUS ProArt P16,Missing,UNKNOWN/UNKNOWN,asus proart p16 rtx 5070,asus proart p16 rtx 5070 scorptec also over ceiling 4999,4999,UNKNOWN,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,Review against existing cards and verify live facts before intake.
