intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,archetype_used,intent_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total,seller_risk_score,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,warranty_months_confirmed,acl_covered
intake-005,"Razer Blade Pro 17 17.3"" Intel Core i7-10875H Gaming Laptop",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,17.3,UNKNOWN,2334.0,No,,Refurbished,UNKNOWN,Verified,Yes,EBAY_AU,EBAY_AU,ebay_watchlist_2026-06-07_processed,cards/intake-005_razer-blade-pro-17-173-intel-core-i7-10875h-gaming-laptop.md,,Passed gates,,,,intake-005,Candidate,0.0,5.0,2.0,5.0,0.0,,,,,,,,,,,,,,,,,
GZ302EA-RU004W_rog_flow_z13,ASUS ROG Flow Z13 (2026) GZ302EA-RU004W,BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1B,AMD Radeon 8060S (Strix Halo Integrated),UNKNOWN,32.0,13.4,UNKNOWN,3499.0,No,,New,PLE Computers,Verified,Yes,MAJOR_RETAILER_AU,MAJOR_RETAILER_AU,manual_user_submission,cards/laptops/GZ302EA-RU004W_rog_flow_z13.md,,Passed gates,,,,GZ302EA-RU004W_rog_flow_z13,Candidate,6,9,6,10,6,,,,,,,,,,,,,,,,,
asus-rog-flow-z13,ASUS ROG Flow Z13 (2025) (Strix Halo),BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1B,UNKNOWN,UNKNOWN,32.0,13.4,UNKNOWN,4499.0,No,,New,ASUS Australia,"Verified (ASUS Store AU, 2026-05-11)",Yes,MANUFACTURER_AU,MANUFACTURER_AU,UNKNOWN,cards/laptops/asus-rog-flow-z13.md,,Passed gates,,,,asus-rog-flow-z13,Candidate,9,3,9,5,9,,,,,,,,,,,,,,,,,
intake-014,Lenovo ThinkPad T14 / T14s (Refurbished),ACTIVE,Laptop,laptop,Complete_System,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,800.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/laptops/intake-014_lenovo-thinkpad-t14-t14s-refurbished.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,,,intake-014,Candidate,3,10,3,8,0,,,,,,,,,,,,,,,,,
NBKHNB141202_hp_zbook_ultra_14_g1a,HP ZBook Ultra 14 G1a (Ryzen AI Max PRO 390),BUY_CANDIDATE,Laptop,laptop,Complete_System,1B,1B,Integrated Graphics,0.0,32.0,16.0,UNKNOWN,3899.0,No,,UNKNOWN,JW Computers,UNKNOWN,UNKNOWN,MAJOR_RETAILER_AU,MAJOR_RETAILER_AU,UNKNOWN,cards/laptops/NBKHNB141202_hp_zbook_ultra_14_g1a.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,,,NBKHNB141202_hp_zbook_ultra_14_g1a,Candidate,3,5,3,8,5,,,,,,,,,,,,,,,,,
hp-zbook-ultra-14-g1a-32gb-triforce,"HP ZBook Ultra 14 G1a Mobile Workstation (Ryzen AI Max 385, 32GB Unified)",ACTIVE,Laptop,laptop,Complete_System,1,1B,AMD Radeon Graphics (Unified),0.0,32.0,14.0,UNKNOWN,2999.0,No,,New,hub by Triforce,Verified,Yes,MAJOR_RETAILER_AU,MAJOR_RETAILER_AU,UNKNOWN,cards/laptops/hp-zbook-ultra-14-g1a-32gb-triforce.md,,Passed gates,,,,hp-zbook-ultra-14-g1a-32gb-triforce,Candidate,9,7,9,8,9,,,,,,,,,,,,,,,,,
fb-122,ASUS GTX 1080ti,ACTIVE,Laptop,laptop,Complete_System,1,1A,GTX 1080TI,11.0,UNKNOWN,UNKNOWN,UNKNOWN,220.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-122_asus-gtx-1080ti.md,,Passed gates,Unverified — confirm specs before scoring,,,fb-122,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-257,ASUS ROG Strix GeForce GTX 1080 Ti OC Edition 11GB,ACTIVE,Laptop,laptop,Complete_System,1,1A,GTX 1080 TI,11.0,UNKNOWN,UNKNOWN,UNKNOWN,340.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-257_asus-rog-strix-geforce-gtx-1080-ti-oc-edition-11gb.md,,Passed gates,Unverified — confirm specs before scoring,,,fb-257,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-036,Laptop Gamer Alienware x16 R1 (i9 13900HK / RTX 4080 / 32GB RAM /QHD+ 240Hz / 1TB Nvme),ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 4080,12.0,UNKNOWN,16.0,UNKNOWN,3000.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-036_laptop-gamer-alienware-x16-r1-i9-13900hk-rtx-4080-32gb-ram-q.md,,Passed gates,Unverified — confirm specs before scoring,,,fb-036,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-207,LIKE NEW Lenovo Legion 9i/i9/RTX 4080/2TB,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 4080,12.0,UNKNOWN,UNKNOWN,UNKNOWN,3499.0,No,,Like_New,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-207_like-new-lenovo-legion-9ii9rtx-40802tb.md,,Passed gates,Unverified — confirm specs before scoring,,,fb-207,Candidate,,,,,,,,,,,,,,,,,,,,,,
