Machine,Type,track,pathway,vram_gb,unified_memory_gb,screen_size_in,price_aud,au_stock,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total
ASUS_ROG_Scar17_RTX4090_16GB,Reference,1,1A,16,UNKNOWN,17,UNKNOWN,UNKNOWN,,,,,,
ASUS_ROG_Scar18_RTX4090_16GB,Reference,1,1A,16,UNKNOWN,18,UNKNOWN,UNKNOWN,,,,,,
Lenovo_Legion_Pro7i_RTX4090_16GB,Reference,1,1A,16,UNKNOWN,16,UNKNOWN,UNKNOWN,,,,,,
MSI_Stealth16_RTX4090_16GB,Reference,1,1A,16,UNKNOWN,16,UNKNOWN,UNKNOWN,,,,,,
Dell_Alienware_m18_RTX4090_16GB,Reference,1,1A,16,UNKNOWN,18,UNKNOWN,UNKNOWN,,,,,,
ASUS_ROG_Scar18_2025_RTX5090_24GB,Reference,1,1A,24,UNKNOWN,18,UNKNOWN,UNKNOWN,,,,,,
Lenovo_Legion_Pro9i_RTX5090_24GB,Reference,1,1A,24,UNKNOWN,18,UNKNOWN,UNKNOWN,,,,,,
MSI_Raider_A18_HX_RTX5090_24GB,Reference,1,1A,24,UNKNOWN,18,UNKNOWN,UNKNOWN,,,,,,
MSI_Titan_GT77_RTX5090_24GB,Reference,1,1A,24,UNKNOWN,18,UNKNOWN,UNKNOWN,,,,,,
Alienware_M18_R2_4080_12GB_mkt011,Laptop,1,1A,12,UNKNOWN,18,3905,No,7,7,7,3,8,
Alienware_M18_R2_4080_12GB_mkt012,Laptop,1,1A,12,UNKNOWN,18,3814,No,7,8,7,3,8,
Alienware_M18_R2_4090_16GB_mkt013,Laptop,1,1A,16,UNKNOWN,18,4726,No,9,5,9,3,10,
Alienware_M18_R2_4090_16GB_mkt014,Laptop,1,1A,16,UNKNOWN,18,4685,No,9,5,9,3,10,
Alienware_Area51_18_5070Ti_mkt015,Laptop,1,1A,UNKNOWN,UNKNOWN,18,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,3,UNKNOWN,
Alienware_Area51_18_5070Ti_mkt016,Laptop,1,1A,UNKNOWN,UNKNOWN,18,2981,No,UNKNOWN,9,UNKNOWN,3,UNKNOWN,
HP_OMEN_MAX_16_ah0013TX,Laptop,1,1A,16,0,16,3799,Yes,8,9,9,7,7,8.05
